COURSE_ID,DEPARTMENT,SEMESTER,COURSE_CODE,COURSE_NAME,L,T,P,S,C,SEMESTER_TYPE,FACULTY_ID,COMBINED,CAPACITY
1,CSE,2A_premid,CS162,Optimization,3,1,0,0,2,even,10,FALSE,84
2,CSE,2A_premid,CS164,Data Structures & Algorithms,3,0,2,0,4,even,46,FALSE,84
3,CSE,2A_premid,CS163,Computer Architecture,3,1,0,0,2,even,24,FALSE,84
4,CSE,2A_premid,CS165,Mathematical foundations of Computing,3,0,2,0,3,even,4,FALSE,84
5,CSE,2A_premid,HS204 / HS153,Economics (HSS / I&E),3,0,0,0,3,even,5;9,FALSE,84
6,CSE,2A_premid,B1,Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things,3,1,0,0,2,even,30;32;12,TRUE,84
7,CSE,2A_premid,B2,Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1/Industry Insights Program Part 1,3,1,0,0,2,even,22;29;44;45,TRUE,84
8,CSE,2B_premid,CS162,Optimization,3,1,0,0,2,even,10,FALSE,84
9,CSE,2B_premid,CS164,Data Structures & Algorithms,3,0,2,0,4,even,39,FALSE,84
10,CSE,2B_premid,CS163,Computer Architecture,3,1,0,0,2,even,46,FALSE,84
11,CSE,2B_premid,CS165,Mathematical foundations of Computing,2,0,2,0,3,even,4,FALSE,84
12,CSE,2B_premid,HS204 / HS153,Economics (HSS / I&E),3,0,0,0,3,even,5;9,FALSE,84
13,CSE,2B_premid,B1,Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things,3,1,0,0,2,even,30;32;12,TRUE,84
14,CSE,2B_premid,B2,Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1/Industry Insights Program Part 1,3,1,0,0,2,even,22;29;44;45,TRUE,84
15,CSE,2A_postmid,MA202,Linear Algebra,3,1,0,0,2,even,33,FALSE,84
16,CSE,2A_postmid,CS163,Data Structures & Algorithms,3,0,2,0,4,even,46,FALSE,84
17,CSE,2A_postmid,HS204 / HS153/ New,Economics/ Innovation and Entrepreneurship,3,0,0,0,3,even,5;9,TRUE,84
18,CSE,2A_postmid,CS165,Mathematical foundations of Computing,3,0,0,0,3,even,4,FALSE,84
19,CSE,2A_postmid,New,Visual Design-PAPC,1.5,1,0,0,2,even,30,TRUE,84
20,CSE,2A_postmid,B3,Data Science with Python/Introduction to Digital VLSI Design/Industry Insights Program Part 1,3,1,0,0,2,even,1;23;44;45,TRUE,84
21,CSE,2A_postmid,B4,Linux for Engineers/Introduction to Holistic Personality Development/Introduction to Holistic Personality Development/Photography101,3,1,0,0,2,even,31;47;8;24,TRUE,84
22,CSE,2B_postmid,MA202,Linear Algebra,3,1,0,0,2,even,34,FALSE,84
23,CSE,2B_postmid,CS163,Data Structures & Algorithms,3,0,2,0,4,even,39,FALSE,84
24,CSE,2B_postmid,HS204 / HS153/ New,Economics/ Innovation and Entrepreneurship,3,0,0,0,3,even,5;9,TRUE,84
25,CSE,2B_postmid,CS165,Mathematical foundations of Computing,3,0,0,0,3,even,4,FALSE,84
26,CSE,2B_postmid,New,Visual Design-PAPC,1.5,1,0,0,2,even,30,TRUE,84
27,CSE,2B_postmid,B3,Data Science with Python/Introduction to Digital VLSI Design/Industry Insights Program Part 1,3,1,0,0,2,even,1;23;44;45,TRUE,84
28,CSE,2B_postmid,B4,Linux for Engineers/Introduction to Holistic Personality Development/Introduction to Holistic Personality Development/Photography101,3,1,0,0,2,even,31;47;8;24,TRUE,84
29,CSE,4A,MA202,Linear Algebra,3,1,0,0,4,even,2,FALSE,70
30,CSE,4A,CS206,Theory of Computing,3,1,0,0,4,even,21,FALSE,70
31,CSE,4A,CS204,Operating Systems,3,0,2,0,4,even,39,FALSE,70
32,CSE,4A,CS301,Software Engineering,3,1,0,0,4,even,41,FALSE,70
33,CSE,4A,CS310,Database Management Systems,3,1,2,0,5,even,22,FALSE,70
34,CSE,4A,HS205,Ethics,3,0,0,0,3,even,14,TRUE,70
35,CSE,4B,MA202,Linear Algebra,3,1,0,0,4,even,2,FALSE,70
36,CSE,4B,CS206,Theory of Computing,3,1,0,0,4,even,36,FALSE,70
37,CSE,4B,CS204,Operating Systems,3,0,2,0,4,even,16;10,FALSE,70
38,CSE,4B,CS301,Software Engineering,3,1,0,0,4,even,37,FALSE,70
39,CSE,4B,CS310,Database Management Systems,3,1,2,0,5,even,1,FALSE,70
40,CSE,4B,HS205,Ethics,3,0,0,0,3,even,14,TRUE,70
41,CSE,6A,B1,Deep Learning for Computer Vision/Large Languange Models/Natural Language Processing/Deep Speech Processing/CMOS RF Circuit Design,3,1,0,0,4,even,7;38;15;20;26;35,TRUE,80
