id,room no,capacity,room type
1,C101,75,LECTURE_ROOM
2,C102,75,LECTURE_ROOM
3,C104,75,LECTURE_ROOM
4,L105,45,HARDWARE_LAB
5,L106,45,COMPUTER_LAB
6,L107,45,COMPUTER_LAB
7,C201,75,LECTURE_ROOM
8,C202,75,LECTURE_ROOM
9,C203,75,LECTURE_ROOM
10,C204,75,LECTURE_ROOM
11,L205,45,HARDWARE_LAB
12,L206,45,COMPUTER_LAB
13,L207,45,COMPUTER_LAB
14,C301,75,LECTURE_ROOM
15,C302,75,LECTURE_ROOM
16,C303,75,LECTURE_ROOM
17,C304,75,LECTURE_ROOM
18,L305,45,HARDWARE_LAB
19,L306,45,COMPUTER_LAB
20,L307,45,COMPUTER_LAB
21,C401,75,LECTURE_ROOM
22,C402,75,LECTURE_ROOM
23,C403,75,LECTURE_ROOM
24,C404,75,LECTURE_ROOM
25,L405,40,HARDWARE_LAB
26,L406,45,COMPUTER_LAB
27,L407,45,COMPUTER_LAB
28,C002,120,SEATER_120
29,C003,120,SEATER_120
30,C004,240,SEATER_240
